Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,75-79 years,0.116,0.103,gambia,0.1095
nMx - age-specific death rate between ages x and x+n,80-84 years,0.189,0.174,gambia,0.1815
nMx - age-specific death rate between ages x and x+n,85+ years,0.319,0.295,gambia,0.307
nMx - age-specific death rate between ages x and x+n,<1 year,0.046,0.039,ghana,0.0425
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.004,ghana,0.0045
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,ghana,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,ghana,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,ghana,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.003,ghana,0.003
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,ghana,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,ghana,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,ghana,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,ghana,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.007,ghana,0.008
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.009,ghana,0.0105
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.011,ghana,0.014
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.021,ghana,0.0235
nMx - age-specific death rate between ages x and x+n,65-69 years,0.04,0.034,ghana,0.037
nMx - age-specific death rate between ages x and x+n,70-74 years,0.066,0.059,ghana,0.0625
nMx - age-specific death rate between ages x and x+n,75-79 years,0.111,0.101,ghana,0.106
nMx - age-specific death rate between ages x and x+n,80-84 years,0.176,0.163,ghana,0.1695
nMx - age-specific death rate between ages x and x+n,85+ years,0.286,0.273,ghana,0.2795
nMx - age-specific death rate between ages x and x+n,<1 year,0.067,0.056,guinea,0.0615
nMx - age-specific death rate between ages x and x+n,01-04 years,0.008,0.008,guinea,0.008
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.003,guinea,0.0025
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,guinea,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.003,guinea,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.004,guinea,0.004
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,guinea,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.005,guinea,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,guinea,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,guinea,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.007,guinea,0.008
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.01,guinea,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.014,guinea,0.016
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.023,guinea,0.025
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.037,guinea,0.039
nMx - age-specific death rate between ages x and x+n,70-74 years,0.068,0.064,guinea,0.066
nMx - age-specific death rate between ages x and x+n,75-79 years,0.114,0.108,guinea,0.111
nMx - age-specific death rate between ages x and x+n,80-84 years,0.186,0.18,guinea,0.183
nMx - age-specific death rate between ages x and x+n,85+ years,0.315,0.301,guinea,0.308
nMx - age-specific death rate between ages x and x+n,<1 year,0.069,0.055,guineaBissau,0.062
nMx - age-specific death rate between ages x and x+n,01-04 years,0.009,0.008,guineaBissau,0.0085
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,guineaBissau,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,guineaBissau,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,guineaBissau,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,guineaBissau,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,guineaBissau,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.005,guineaBissau,0.005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.008,0.007,guineaBissau,0.0075
nMx - age-specific death rate between ages x and x+n,40-44 years,0.009,0.007,guineaBissau,0.008
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.008,guineaBissau,0.0095
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.009,guineaBissau,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.012,guineaBissau,0.0145
nMx - age-specific death rate between ages x and x+n,60-64 years,0.028,0.022,guineaBissau,0.025
nMx - age-specific death rate between ages x and x+n,65-69 years,0.043,0.037,guineaBissau,0.04
nMx - age-specific death rate between ages x and x+n,70-74 years,0.071,0.064,guineaBissau,0.0675
nMx - age-specific death rate between ages x and x+n,75-79 years,0.118,0.107,guineaBissau,0.1125
nMx - age-specific death rate between ages x and x+n,80-84 years,0.193,0.18,guineaBissau,0.1865
nMx - age-specific death rate between ages x and x+n,85+ years,0.312,0.298,guineaBissau,0.305
nMx - age-specific death rate between ages x and x+n,<1 year,0.057,0.05,liberia,0.0535
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,liberia,0.004
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,liberia,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,liberia,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,liberia,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,liberia,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,liberia,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,liberia,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,liberia,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,liberia,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.007,liberia,0.0075
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.008,liberia,0.0095
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.011,liberia,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.02,liberia,0.0225
nMx - age-specific death rate between ages x and x+n,65-69 years,0.039,0.033,liberia,0.036
nMx - age-specific death rate between ages x and x+n,70-74 years,0.065,0.058,liberia,0.0615
nMx - age-specific death rate between ages x and x+n,75-79 years,0.11,0.1,liberia,0.105
nMx - age-specific death rate between ages x and x+n,80-84 years,0.181,0.17,liberia,0.1755
nMx - age-specific death rate between ages x and x+n,85+ years,0.31,0.291,liberia,0.3005
nMx - age-specific death rate between ages x and x+n,<1 year,0.078,0.069,mali,0.0735
nMx - age-specific death rate between ages x and x+n,01-04 years,0.012,0.012,mali,0.012
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,mali,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,mali,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,mali,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.004,mali,0.004
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.005,mali,0.005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.005,mali,0.005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.006,mali,0.0055
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,mali,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.007,mali,0.0075
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.01,mali,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.014,mali,0.0155
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.023,mali,0.024
nMx - age-specific death rate between ages x and x+n,65-69 years,0.039,0.038,mali,0.0385
nMx - age-specific death rate between ages x and x+n,70-74 years,0.065,0.065,mali,0.065
nMx - age-specific death rate between ages x and x+n,75-79 years,0.11,0.11,mali,0.11
nMx - age-specific death rate between ages x and x+n,80-84 years,0.181,0.182,mali,0.1815
nMx - age-specific death rate between ages x and x+n,85+ years,0.311,0.303,mali,0.307
nMx - age-specific death rate between ages x and x+n,<1 year,0.063,0.051,Mauritania,0.057
nMx - age-specific death rate between ages x and x+n,01-04 years,0.007,0.007,Mauritania,0.007
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,Mauritania,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,Mauritania,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,Mauritania,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,Mauritania,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,Mauritania,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.003,Mauritania,0.003
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.003,Mauritania,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.004,Mauritania,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.005,Mauritania,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.007,Mauritania,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.01,Mauritania,0.0125
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.017,Mauritania,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.029,Mauritania,0.0325
nMx - age-specific death rate between ages x and x+n,70-74 years,0.06,0.051,Mauritania,0.0555
nMx - age-specific death rate between ages x and x+n,75-79 years,0.103,0.09,Mauritania,0.0965
nMx - age-specific death rate between ages x and x+n,80-84 years,0.172,0.157,Mauritania,0.1645
nMx - age-specific death rate between ages x and x+n,85+ years,0.301,0.279,Mauritania,0.29
nMx - age-specific death rate between ages x and x+n,<1 year,0.058,0.05,niger,0.054
nMx - age-specific death rate between ages x and x+n,01-04 years,0.011,0.011,niger,0.011
nMx - age-specific death rate between ages x and x+n,05-09 years,0.005,0.004,niger,0.0045
nMx - age-specific death rate between ages x and x+n,10-14 years,0.004,0.004,niger,0.004
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,niger,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.003,niger,0.003
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,niger,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,niger,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,niger,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.006,niger,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.007,niger,0.0075
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.01,niger,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.014,niger,0.0155
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.018,niger,0.0215
nMx - age-specific death rate between ages x and x+n,65-69 years,0.037,0.03,niger,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.061,0.054,niger,0.0575
nMx - age-specific death rate between ages x and x+n,75-79 years,0.105,0.094,niger,0.0995
nMx - age-specific death rate between ages x and x+n,80-84 years,0.175,0.162,niger,0.1685
nMx - age-specific death rate between ages x and x+n,85+ years,0.304,0.283,niger,0.2935
nMx - age-specific death rate between ages x and x+n,<1 year,0.075,0.066,nigeria,0.0705
nMx - age-specific death rate between ages x and x+n,01-04 years,0.01,0.011,nigeria,0.0105
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,nigeria,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.002,nigeria,0.0015
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.004,nigeria,0.0035
nMx - age-specific death rate between ages x and x+n,20-24 years,0.005,0.005,nigeria,0.005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.006,0.006,nigeria,0.006
nMx - age-specific death rate between ages x and x+n,30-34 years,0.007,0.007,nigeria,0.007
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.009,nigeria,0.009
nMx - age-specific death rate between ages x and x+n,40-44 years,0.011,0.01,nigeria,0.0105
nMx - age-specific death rate between ages x and x+n,45-49 years,0.013,0.01,nigeria,0.0115
nMx - age-specific death rate between ages x and x+n,50-54 years,0.017,0.013,nigeria,0.015
nMx - age-specific death rate between ages x and x+n,55-59 years,0.022,0.017,nigeria,0.0195
nMx - age-specific death rate between ages x and x+n,60-64 years,0.033,0.029,nigeria,0.031
nMx - age-specific death rate between ages x and x+n,65-69 years,0.05,0.046,nigeria,0.048
nMx - age-specific death rate between ages x and x+n,70-74 years,0.081,0.078,nigeria,0.0795
nMx - age-specific death rate between ages x and x+n,75-79 years,0.133,0.128,nigeria,0.1305
nMx - age-specific death rate between ages x and x+n,80-84 years,0.213,0.209,nigeria,0.211
nMx - age-specific death rate between ages x and x+n,85+ years,0.346,0.333,nigeria,0.3395
nMx - age-specific death rate between ages x and x+n,<1 year,0.03,0.024,SAoTomePrin,0.027
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,SAoTomePrin,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,SAoTomePrin,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,SAoTomePrin,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,SAoTomePrin,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,SAoTomePrin,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,SAoTomePrin,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.002,SAoTomePrin,0.003
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.003,SAoTomePrin,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.004,SAoTomePrin,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.005,SAoTomePrin,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.009,0.007,SAoTomePrin,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.009,SAoTomePrin,0.0105
nMx - age-specific death rate between ages x and x+n,60-64 years,0.02,0.015,SAoTomePrin,0.0175
nMx - age-specific death rate between ages x and x+n,65-69 years,0.03,0.024,SAoTomePrin,0.027
nMx - age-specific death rate between ages x and x+n,70-74 years,0.048,0.041,SAoTomePrin,0.0445
nMx - age-specific death rate between ages x and x+n,75-79 years,0.078,0.068,SAoTomePrin,0.073
nMx - age-specific death rate between ages x and x+n,80-84 years,0.126,0.113,SAoTomePrin,0.1195
nMx - age-specific death rate between ages x and x+n,85+ years,0.231,0.212,SAoTomePrin,0.2215
nMx - age-specific death rate between ages x and x+n,<1 year,0.038,0.031,senegal,0.0345
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.003,senegal,0.0035
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,senegal,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.001,senegal,0.0015
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,senegal,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,senegal,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.002,senegal,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.002,senegal,0.0025
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.003,senegal,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.003,senegal,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.004,senegal,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.006,senegal,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.009,senegal,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.015,senegal,0.019
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.026,senegal,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.06,0.047,senegal,0.0535
nMx - age-specific death rate between ages x and x+n,75-79 years,0.102,0.085,senegal,0.0935
nMx - age-specific death rate between ages x and x+n,80-84 years,0.17,0.15,senegal,0.16
nMx - age-specific death rate between ages x and x+n,85+ years,0.299,0.271,senegal,0.285
nMx - age-specific death rate between ages x and x+n,<1 year,0.098,0.084,sierraleone,0.091
nMx - age-specific death rate between ages x and x+n,01-04 years,0.009,0.008,sierraleone,0.0085
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,sierraleone,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,sierraleone,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.005,0.005,sierraleone,0.005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.007,0.007,sierraleone,0.007
nMx - age-specific death rate between ages x and x+n,25-29 years,0.007,0.007,sierraleone,0.007
nMx - age-specific death rate between ages x and x+n,30-34 years,0.008,0.007,sierraleone,0.0075
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.008,sierraleone,0.0085
nMx - age-specific death rate between ages x and x+n,40-44 years,0.011,0.01,sierraleone,0.0105
nMx - age-specific death rate between ages x and x+n,45-49 years,0.013,0.012,sierraleone,0.0125
nMx - age-specific death rate between ages x and x+n,50-54 years,0.017,0.017,sierraleone,0.017
nMx - age-specific death rate between ages x and x+n,55-59 years,0.024,0.023,sierraleone,0.0235
nMx - age-specific death rate between ages x and x+n,60-64 years,0.035,0.035,sierraleone,0.035
nMx - age-specific death rate between ages x and x+n,65-69 years,0.053,0.052,sierraleone,0.0525
nMx - age-specific death rate between ages x and x+n,70-74 years,0.086,0.084,sierraleone,0.085
nMx - age-specific death rate between ages x and x+n,75-79 years,0.139,0.136,sierraleone,0.1375
nMx - age-specific death rate between ages x and x+n,80-84 years,0.22,0.216,sierraleone,0.218
nMx - age-specific death rate between ages x and x+n,85+ years,0.35,0.347,sierraleone,0.3485
nMx - age-specific death rate between ages x and x+n,<1 year,0.059,0.048,togo,0.0535
nMx - age-specific death rate between ages x and x+n,01-04 years,0.007,0.006,togo,0.0065
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,togo,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,togo,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,togo,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.003,togo,0.003
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.004,togo,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.005,togo,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.006,togo,0.006
nMx - age-specific death rate between ages x and x+n,40-44 years,0.008,0.007,togo,0.0075
nMx - age-specific death rate between ages x and x+n,45-49 years,0.01,0.008,togo,0.009
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.01,togo,0.0115
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.012,togo,0.015
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.022,togo,0.0245
nMx - age-specific death rate between ages x and x+n,65-69 years,0.042,0.037,togo,0.0395
nMx - age-specific death rate between ages x and x+n,70-74 years,0.069,0.063,togo,0.066
nMx - age-specific death rate between ages x and x+n,75-79 years,0.116,0.107,togo,0.1115
nMx - age-specific death rate between ages x and x+n,80-84 years,0.189,0.18,togo,0.1845
nMx - age-specific death rate between ages x and x+n,85+ years,0.319,0.301,togo,0.31
